is_cancelled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_cancelled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,has_booking_changes,has_special_requests,has_previous_cancellations
1,89,6,3,2,0.0,0,0,0,0,A,A,0,No Deposit,0,Transient,98.77046415673736,1,2,False,True,False
1,135,8,2,4,0.0,0,0,0,0,A,D,0,No Deposit,0,Transient,135.1662396084898,0,0,False,False,False
1,59,2,3,1,0.0,0,0,0,0,D,A,1,No Deposit,0,Transient,121.93304346385678,1,0,True,False,False
1,95,1,20,4,0.0,0,0,0,0,A,A,7,No Deposit,0,Transient,74.545368813787,0,0,True,False,False
1,79,1,4,1,0.0,0,0,0,0,G,E,0,No Deposit,0,Transient,278.17136041959327,0,2,False,True,False
1,123,0,1,2,0.0,0,0,0,0,A,A,4,No Deposit,0,Transient,62.817080098606496,0,1,True,True,False
1,127,2,2,1,0.0,1,0,0,0,A,E,1,No Deposit,0,Transient-Party,113.74836792298844,0,0,True,False,False
1,75,0,3,1,0.0,0,0,0,0,A,A,0,No Deposit,0,Transient,100.14341796649212,0,0,False,False,False
1,132,2,3,2,0.0,0,0,0,0,A,A,2,No Deposit,61,Transient-Party,119.47893185922317,1,0,True,False,False
1,53,0,2,2,0.0,0,0,0,0,H,A,1,No Deposit,0,Transient,58.53531215279501,0,0,True,False,False
1,91,0,2,2,0.0,0,0,0,0,A,A,1,No Deposit,0,Transient,320.31783004483685,0,2,True,True,False
1,95,0,3,1,0.0,0,0,0,0,E,A,1,No Deposit,0,Transient,101.85424520922166,0,1,True,True,False
1,106,0,2,2,0.0,0,0,0,0,B,A,1,No Deposit,0,Transient,78.23085609851645,0,4,True,True,False
1,98,1,2,2,0.0,0,0,0,0,D,A,2,No Deposit,0,Transient,86.71867068217826,0,1,True,True,False
1,90,2,3,2,0.0,0,0,0,0,D,D,2,No Deposit,0,Transient,162.03786001456675,0,0,True,False,False
1,125,2,1,2,0.0,0,0,0,0,A,A,0,No Deposit,111,Transient,152.29420898209304,0,0,False,False,False
1,98,0,4,2,0.0,0,0,0,0,A,C,2,No Deposit,0,Transient,63.654512960673216,0,1,True,True,False
1,52,0,5,2,0.0,0,0,0,0,A,A,0,No Deposit,0,Transient,117.2800309455716,0,0,False,False,False
1,87,0,2,2,0.0,0,0,1,0,A,E,0,No Deposit,0,Transient,157.7962708836024,0,0,False,False,True
1,65,0,5,0,0.0,0,0,0,0,A,A,1,Non Refund,0,Transient,108.94373666192988,1,0,True,False,False
1,100,1,5,2,0.0,0,0,0,0,E,A,0,No Deposit,0,Transient,28.765077100989743,0,1,False,True,False
1,69,1,5,1,0.0,0,0,1,0,A,D,0,No Deposit,0,Transient,114.14881633752572,0,0,False,False,True
1,149,1,4,1,0.0,0,0,0,0,A,A,0,No Deposit,0,Transient,57.53851265608158,0,0,False,False,False
1,109,0,4,2,0.0,0,0,0,0,C,A,0,No Deposit,0,Transient,333.9926848344752,0,1,False,True,False
1,103,1,2,1,1.0,0,0,0,0,A,A,0,No Deposit,45,Transient,108.74545744428109,0,1,False,True,False
1,51,5,5,3,0.0,0,0,0,0,A,A,5,Non Refund,0,Transient,277.719515047205,0,2,True,True,False
1,63,0,21,1,0.0,0,0,26,0,A,E,1,Non Refund,0,Transient,98.79308313128855,0,0,True,False,True
1,140,0,3,2,0.0,0,0,0,0,F,A,0,No Deposit,0,Transient,159.96315102002643,0,0,False,False,False
1,55,0,3,2,0.0,0,0,1,0,A,A,0,No Deposit,0,Contract,75.3303561485617,0,0,False,False,True
1,108,0,2,2,0.0,0,0,1,0,A,A,1,Refundable,0,Transient,84.8892438963531,0,3,True,True,True
1,106,0,4,3,0.0,0,1,0,0,A,A,0,No Deposit,0,Transient,44.91582616152437,0,0,False,False,False
1,78,1,2,2,1.0,0,0,0,0,A,A,1,No Deposit,0,Transient,145.3952934921357,0,0,True,False,False
1,131,5,1,2,0.0,0,0,25,0,E,A,0,No Deposit,0,Transient,133.32607068297293,0,1,False,True,True
1,78,1,1,2,0.0,0,0,0,0,A,C,0,No Deposit,0,Transient,126.0294166584303,0,0,False,False,False
1,73,2,1,2,0.0,0,0,0,0,A,A,1,No Deposit,0,Transient,83.00929742699988,0,0,True,False,False
1,119,3,5,2,0.0,0,0,0,0,A,A,0,No Deposit,0,Transient,147.66549404866893,0,2,False,True,False
1,86,0,1,2,3.0,0,1,0,0,A,D,1,No Deposit,0,Transient-Party,63.96369821406795,0,0,True,False,False
1,77,0,8,2,0.0,1,0,0,0,D,B,1,No Deposit,0,Transient,84.44004736697734,0,2,True,True,False
1,61,2,5,2,3.0,1,0,0,0,A,H,0,No Deposit,0,Transient,203.52547138879945,0,0,False,False,False
1,72,2,0,2,0.0,1,0,0,0,A,D,1,No Deposit,0,Transient,201.9102385254395,0,1,True,True,False
1,145,0,5,2,0.0,0,0,0,0,D,D,0,No Deposit,0,Transient,119.6294910470858,0,0,False,False,False
1,100,2,5,2,0.0,0,0,0,0,A,A,1,Refundable,0,Transient-Party,78.23504273518115,0,1,True,True,False
1,97,0,12,3,0.0,0,0,1,0,E,A,0,Non Refund,0,Transient,178.5491158163679,0,0,False,False,True
1,126,0,5,2,0.0,0,0,0,0,A,A,0,No Deposit,55,Transient,109.10835089247082,0,0,False,False,False
1,135,6,2,2,0.0,0,0,0,0,A,A,1,No Deposit,0,Transient,43.710154898779,0,0,True,False,False
1,78,2,2,2,0.0,0,0,0,57,A,E,0,No Deposit,0,Transient,151.13718259125528,1,1,False,True,False
